Version,,,,,,Date,Buffer,Minimum (weeks of supply),,2,,,,,,,,
2,,,,,,46114,30,Maximum (weeks of supply),,30,,,,,,,,
Vendor,LastReceipt,Component,Description,Net,Unit,Lead Time,Lead,QOH,Average Week,Projected,DOS,SOQ,Due,Parent Part,Demand,Open Orders,Net & Orders,Notes from Special Cases
Vendor,#N/A,Component Merged,#N/A,,Item-unit,Delv-days,#VALUE!,Qty-on-hand,0,#VALUE!,,#N/A,Date Merged,Parent Merged,Total Demand,Open Qty,#VALUE!,
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,239.6622692,25.67785337,1000,46182,BWA9416A2,8,0,505,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,230.3288462,24.67785337,1000,46183,BWA9414A1,9,0,496,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,220.9954231,23.67785337,1000,46184,BWA9416A2,6,0,490,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,192.9951538,20.67785337,1000,46189,BWA9415A2,9,0,481,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,192.9951538,20.67785337,1000,46189,BWA9414A1,8,0,473,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,183.6617308,19.67785337,1000,46190,BWA9416A2,8,0,465,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,155.6614615,16.67785337,1000,46195,BWA9414A1,7,0,458,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,146.3280385,15.67785337,1000,46196,BWA9415A2,10,0,448,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,127.6611923,13.67785337,1000,46198,BWA9416A2,10,0,438,Uniform Color 
0,UNIFORM COLOR COMPANY,CLR-9300,50-905 Deep Black,2.97,LB,3,46135,697,46.66711538,127.6611923,13.67785337,1000,46198,BWA9414A1,9,0,429,Uniform Color 
